Date,LIC Pension Fund Scheme A - Tier I
15-Sep-2011,
14-Sep-2011,
13-Sep-2011,
12-Sep-2011,
09-Sep-2011,
08-Sep-2011,
07-Sep-2011,
06-Sep-2011,
05-Sep-2011,
02-Sep-2011,
30-Aug-2011,
29-Aug-2011,
26-Aug-2011,
25-Aug-2011,
24-Aug-2011,
23-Aug-2011,
22-Aug-2011,
18-Aug-2011,
17-Aug-2011,
16-Aug-2011,
12-Aug-2011,
11-Aug-2011,
10-Aug-2011,
09-Aug-2011,
08-Aug-2011,
05-Aug-2011,
04-Aug-2011,
03-Aug-2011,
02-Aug-2011,
01-Aug-2011,
29-Jul-2011,
28-Jul-2011,
27-Jul-2011,
26-Jul-2011,
25-Jul-2011,
22-Jul-2011,
21-Jul-2011,
20-Jul-2011,
19-Jul-2011,
18-Jul-2011,
15-Jul-2011,
14-Jul-2011,
13-Jul-2011,
12-Jul-2011,
11-Jul-2011,
08-Jul-2011,
07-Jul-2011,
06-Jul-2011,
05-Jul-2011,
04-Jul-2011,
01-Jul-2011,
30-Jun-2011,
29-Jun-2011,
28-Jun-2011,
27-Jun-2011,
24-Jun-2011,
23-Jun-2011,
22-Jun-2011,
21-Jun-2011,
20-Jun-2011,
17-Jun-2011,
16-Jun-2011,
15-Jun-2011,
14-Jun-2011,
13-Jun-2011,
10-Jun-2011,
09-Jun-2011,
08-Jun-2011,
07-Jun-2011,
06-Jun-2011,
03-Jun-2011,
02-Jun-2011,
01-Jun-2011,
31-May-2011,
30-May-2011,
27-May-2011,
26-May-2011,
25-May-2011,
24-May-2011,
23-May-2011,
20-May-2011,
19-May-2011,
18-May-2011,
16-May-2011,
13-May-2011,
12-May-2011,
11-May-2011,
10-May-2011,
09-May-2011,
06-May-2011,
05-May-2011,
04-May-2011,
03-May-2011,
02-May-2011,
29-Apr-2011,
28-Apr-2011,
27-Apr-2011,
26-Apr-2011,
25-Apr-2011,
21-Apr-2011,
20-Apr-2011,
19-Apr-2011,
18-Apr-2011,
15-Apr-2011,
13-Apr-2011,
11-Apr-2011,
08-Apr-2011,
07-Apr-2011,
06-Apr-2011,
05-Apr-2011,
31-Mar-2011,
30-Mar-2011,
29-Mar-2011,
28-Mar-2011,
25-Mar-2011,
24-Mar-2011,
23-Mar-2011,
21-Mar-2011,
18-Mar-2011,
17-Mar-2011,
16-Mar-2011,
15-Mar-2011,
14-Mar-2011,
11-Mar-2011,
10-Mar-2011,
09-Mar-2011,
08-Mar-2011,
07-Mar-2011,
04-Mar-2011,
03-Mar-2011,
01-Mar-2011,
28-Feb-2011,
24-Feb-2011,
23-Feb-2011,
22-Feb-2011,
21-Feb-2011,
18-Feb-2011,
17-Feb-2011,
15-Feb-2011,
14-Feb-2011,
11-Feb-2011,
10-Feb-2011,
09-Feb-2011,
08-Feb-2011,
07-Feb-2011,
04-Feb-2011,
03-Feb-2011,
02-Feb-2011,
01-Feb-2011,
31-Jan-2011,
28-Jan-2011,
27-Jan-2011,
25-Jan-2011,
24-Jan-2011,
21-Jan-2011,
20-Jan-2011,
19-Jan-2011,
18-Jan-2011,
17-Jan-2011,
14-Jan-2011,
13-Jan-2011,
12-Jan-2011,
11-Jan-2011,
10-Jan-2011,
07-Jan-2011,
06-Jan-2011,
05-Jan-2011,
04-Jan-2011,
03-Jan-2011,
31-Dec-2010,
30-Dec-2010,
29-Dec-2010,
28-Dec-2010,
27-Dec-2010,
24-Dec-2010,
23-Dec-2010,
22-Dec-2010,
21-Dec-2010,
20-Dec-2010,
16-Dec-2010,
15-Dec-2010,
14-Dec-2010,
13-Dec-2010,
10-Dec-2010,
09-Dec-2010,
08-Dec-2010,
07-Dec-2010,
06-Dec-2010,
03-Dec-2010,
02-Dec-2010,
01-Dec-2010,
30-Nov-2010,
26-Nov-2010,
25-Nov-2010,
24-Nov-2010,
23-Nov-2010,
22-Nov-2010,
19-Nov-2010,
18-Nov-2010,
16-Nov-2010,
15-Nov-2010,
12-Nov-2010,
11-Nov-2010,
10-Nov-2010,
09-Nov-2010,
08-Nov-2010,
04-Nov-2010,
03-Nov-2010,
02-Nov-2010,
01-Nov-2010,
29-Oct-2010,
28-Oct-2010,
27-Oct-2010,
26-Oct-2010,
25-Oct-2010,
22-Oct-2010,
21-Oct-2010,
20-Oct-2010,
19-Oct-2010,
18-Oct-2010,
15-Oct-2010,
14-Oct-2010,
13-Oct-2010,
12-Oct-2010,
11-Oct-2010,
08-Oct-2010,
07-Oct-2010,
06-Oct-2010,
05-Oct-2010,
04-Oct-2010,
01-Oct-2010,
29-Sep-2010,
28-Sep-2010,
27-Sep-2010,
24-Sep-2010,
23-Sep-2010,
22-Sep-2010,
21-Sep-2010,
20-Sep-2010,
16-Sep-2010,
15-Sep-2010,
14-Sep-2010,
13-Sep-2010,
09-Sep-2010,
08-Sep-2010,
07-Sep-2010,
06-Sep-2010,
03-Sep-2010,
02-Sep-2010,
01-Sep-2010,
31-Aug-2010,
30-Aug-2010,
27-Aug-2010,
26-Aug-2010,
25-Aug-2010,
24-Aug-2010,
23-Aug-2010,
20-Aug-2010,
18-Aug-2010,
17-Aug-2010,
16-Aug-2010,
13-Aug-2010,
12-Aug-2010,
11-Aug-2010,
10-Aug-2010,
09-Aug-2010,
06-Aug-2010,
05-Aug-2010,
04-Aug-2010,
03-Aug-2010,
02-Aug-2010,
30-Jul-2010,
29-Jul-2010,
28-Jul-2010,
27-Jul-2010,
26-Jul-2010,
23-Jul-2010,
22-Jul-2010,
21-Jul-2010,
20-Jul-2010,
19-Jul-2010,
16-Jul-2010,
15-Jul-2010,
14-Jul-2010,
13-Jul-2010,
12-Jul-2010,
09-Jul-2010,
08-Jul-2010,
07-Jul-2010,
06-Jul-2010,
05-Jul-2010,
02-Jul-2010,
30-Jun-2010,
29-Jun-2010,
28-Jun-2010,
25-Jun-2010,
24-Jun-2010,
23-Jun-2010,
22-Jun-2010,
21-Jun-2010,
18-Jun-2010,
17-Jun-2010,
16-Jun-2010,
14-Jun-2010,
11-Jun-2010,
09-Jun-2010,
08-Jun-2010,
07-Jun-2010,
04-Jun-2010,
03-Jun-2010,
02-Jun-2010,
01-Jun-2010,
31-May-2010,
28-May-2010,
26-May-2010,
25-May-2010,
24-May-2010,
21-May-2010,
20-May-2010,
19-May-2010,
18-May-2010,
17-May-2010,
14-May-2010,
13-May-2010,
12-May-2010,
11-May-2010,
10-May-2010,
07-May-2010,
06-May-2010,
05-May-2010,
04-May-2010,
03-May-2010,
30-Apr-2010,
29-Apr-2010,
28-Apr-2010,
27-Apr-2010,
26-Apr-2010,
23-Apr-2010,
22-Apr-2010,
21-Apr-2010,
20-Apr-2010,
19-Apr-2010,
16-Apr-2010,
15-Apr-2010,
13-Apr-2010,
12-Apr-2010,
09-Apr-2010,
08-Apr-2010,
07-Apr-2010,
06-Apr-2010,
05-Apr-2010,
31-Mar-2010,
30-Mar-2010,
29-Mar-2010,
26-Mar-2010,
25-Mar-2010,
23-Mar-2010,
22-Mar-2010,
20-Mar-2010,
19-Mar-2010,
18-Mar-2010,
17-Mar-2010,
15-Mar-2010,
13-Mar-2010,
12-Mar-2010,
11-Mar-2010,
10-Mar-2010,
09-Mar-2010,
08-Mar-2010,
06-Mar-2010,
05-Mar-2010,
04-Mar-2010,
03-Mar-2010,
02-Mar-2010,
26-Feb-2010,
25-Feb-2010,
24-Feb-2010,
23-Feb-2010,
22-Feb-2010,
20-Feb-2010,
19-Feb-2010,
18-Feb-2010,
17-Feb-2010,
15-Feb-2010,
13-Feb-2010,
11-Feb-2010,
10-Feb-2010,
09-Feb-2010,
08-Feb-2010,
06-Feb-2010,
05-Feb-2010,
04-Feb-2010,
03-Feb-2010,
02-Feb-2010,
01-Feb-2010,
30-Jan-2010,
29-Jan-2010,
28-Jan-2010,
27-Jan-2010,
25-Jan-2010,
23-Jan-2010,
22-Jan-2010,
21-Jan-2010,
20-Jan-2010,
19-Jan-2010,
18-Jan-2010,
16-Jan-2010,
15-Jan-2010,
14-Jan-2010,
13-Jan-2010,
12-Jan-2010,
11-Jan-2010,
09-Jan-2010,
08-Jan-2010,
07-Jan-2010,
06-Jan-2010,
05-Jan-2010,
04-Jan-2010,
02-Jan-2010,
01-Jan-2010,
31-Dec-2009,
30-Dec-2009,
29-Dec-2009,
26-Dec-2009,
24-Dec-2009,
23-Dec-2009,
22-Dec-2009,
21-Dec-2009,
19-Dec-2009,
18-Dec-2009,
17-Dec-2009,
16-Dec-2009,
15-Dec-2009,
14-Dec-2009,
12-Dec-2009,
11-Dec-2009,
10-Dec-2009,
09-Dec-2009,
08-Dec-2009,
07-Dec-2009,
04-Dec-2009,
03-Dec-2009,
02-Dec-2009,
01-Dec-2009,
07-Jan-0215,
--,
--,
--,
--,
--,
